Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,Scroll,user_engagement,SpecialDay,Month,OperatingSystems,Browser,Region,VisitorType,Weekend,Revenue
0.0,0.0,,0.0,1,0.0,20.0,8.0,0.0,Feb,1,1.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,2,64.0,0.0,4.0,0.0,Feb,2,2.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,1,0.0,20.0,8.0,0.0,Feb,4,1.0,9,Returning_Visitor,False,False
0.0,0.0,,0.0,2,2.666666667,5.0,5.6,0.0,Feb,3,2.0,2,Returning_Visitor,False,False
0.0,0.0,,0.0,10,627.5,2.0,2.0,0.0,Feb,3,3.0,1,Returning_Visitor,True,False
0.0,0.0,,0.0,19,154.2166667,1.5789474,0.98245616,0.0,Feb,2,2.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,1,0.0,20.0,8.0,0.4,Feb,2,4.0,3,Returning_Visitor,False,False
1.0,0.0,,0.0,1,0.0,20.0,8.0,0.0,Feb,1,2.0,1,Returning_Visitor,True,False
0.0,0.0,,0.0,2,37.0,0.0,4.0,0.8,Feb,2,2.0,2,Returning_Visitor,False,False
0.0,0.0,,0.0,3,738.0,0.0,0.88888888,0.4,Feb,2,4.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,3,395.0,0.0,2.66666668,0.0,Feb,1,1.0,3,Returning_Visitor,False,False
0.0,0.0,,0.0,16,407.75,1.875,1.03333332,0.4,Feb,1,1.0,4,Returning_Visitor,False,False
0.0,0.0,,0.0,7,280.5,0.0,1.14285716,0.0,Feb,1,1.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,6,98.0,0.0,2.66666668,0.0,Feb,2,5.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,2,68.0,0.0,4.0,0.0,Feb,3,2.0,3,Returning_Visitor,False,False
2.0,53.0,,0.0,23,1668.285119,0.8333333,0.65250544,0.0,Feb,1,1.0,9,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1,0.0,20.0,8.0,0.0,Feb,1,1.0,4,Returning_Visitor,False,False
0.0,0.0,,0.0,13,334.9666667,0.0,0.30769232,0.0,Feb,1,1.0,1,Returning_Visitor,True,False
0.0,0.0,,0.0,2,32.0,0.0,4.0,0.0,Feb,2,2.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,20,2981.166667,0.0,0.4,0.0,Feb,2,4.0,4,Returning_Visitor,False,False
0.0,0.0,,0.0,8,136.1666667,0.0,0.33333332,1.0,Feb,2,2.0,5,Returning_Visitor,True,False
0.0,0.0,,0.0,2,0.0,20.0,8.0,0.0,Feb,3,3.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,3,105.0,0.0,1.33333332,0.0,Feb,3,2.0,1,Returning_Visitor,False,False
0.0,0.0,,0.0,2,15.0,0.0,4.0,0.8,Feb,2,4.0,1,Returning_Visitor,False,False
